threadID,sectionID,event,val,ts,ticket
id_140640893953856,main,BEGIN_FUNC_PROC,0,1571314605769392350,1
id_140640893953856,s1,WAIT,0,1571314605769476191,2
id_140640893953856,s2,WAIT,1,1571314605769482920,3
id_140640893953856,s1,SIGNAL,1,1571314605769577769,4
id_140640893953856,s2,WAIT,0,1571314605769581786,5
id_140640893953856,s1,SIGNAL,2,1571314605769586475,6
id_140640893953856,s2,SIGNAL,1,1571314605769589670,7
id_140640893953856,s1,WAIT,1,1571314605769617177,8
id_140640893953856,s2,WAIT,0,1571314605769618744,9
id_140640893953856,s1,SIGNAL,2,1571314605769705390,10
id_140640893953856,s2,SIGNAL,1,1571314605769715428,11
id_140640893953856,s1,WAIT,1,1571314605769718649,12
id_140640893953856,s2,SIGNAL,2,1571314605769726533,13
id_140640893953856,s1,WAIT,0,1571314605769728773,14
id_140640893953856,s2,SIGNAL,3,1571314605769733601,15
id_140640893953856,s2,WAIT,2,1571314605769741830,16
id_140640893953856,s1,SIGNAL,1,1571314605769749529,17
id_140640893953856,s2,WAIT,1,1571314605769751742,18
id_140640893953856,s1,SIGNAL,2,1571314605769757777,19
id_140640893953856,s2,WAIT,0,1571314605769764063,20
id_140640893953856,s1,WAIT,1,1571314605769766747,21
id_140640893953856,s1,SIGNAL,2,1571314605769782594,22
id_140640893953856,s2,SIGNAL,1,1571314605769793968,23
id_140640893953856,s1,WAIT,1,1571314605769801660,24
id_140640893953856,s2,WAIT,0,1571314605769803272,25
id_140640893953856,s2,SIGNAL,1,1571314605769808802,26
id_140640893953856,s1,SIGNAL,2,1571314605769811668,27
id_140640893953856,s2,WAIT,0,1571314605769823591,28
id_140640893953856,s1,WAIT,1,1571314605769828529,29
id_140640893953856,s1,SIGNAL,2,1571314605769835924,30
id_140640893953856,s2,SIGNAL,1,1571314605769838048,31
id_140640893953856,s1,WAIT,1,1571314605769844663,32
id_140640893953856,s2,WAIT,0,1571314605769846190,33
id_140640893953856,s1,SIGNAL,2,1571314605769856656,34
id_140640893953856,s2,SIGNAL,1,1571314605769857571,35
id_140640893953856,s1,WAIT,1,1571314605769870458,36
id_140640893953856,s2,SIGNAL,2,1571314605769876245,37
id_140640893953856,s1,WAIT,0,1571314605769878671,38
id_140640893953856,s2,WAIT,1,1571314605769881864,39
id_140640893953856,s2,SIGNAL,2,1571314605769891121,40
id_140640893953856,s1,SIGNAL,1,1571314605769892150,41
id_140640893953856,s2,WAIT,1,1571314605769981591,42
id_140640893953856,s3,WAIT,1,1571314605769990445,43
id_140640893953856,s3,SIGNAL,2,1571314605770010553,44
id_140640893953856,s2,WAIT,0,1571314605770015203,45
id_140640893953856,s2,SIGNAL,1,1571314605770023645,46
id_140640893953856,s3,SIGNAL,3,1571314605770024818,47
id_140640893953856,s2,WAIT,0,1571314605770036846,48
id_140640893953856,s3,SIGNAL,4,1571314605770042237,49
id_140640893953856,s3,WAIT,3,1571314605770050175,50
id_140640893953856,s2,SIGNAL,1,1571314605770062329,51
id_140640893953856,s3,WAIT,2,1571314605770064738,52
id_140640893953856,s2,WAIT,0,1571314605770065458,53
id_140640893953856,s2,SIGNAL,1,1571314605770077388,54
id_140640893953856,s3,SIGNAL,3,1571314605770078886,55
id_140640893953856,s2,WAIT,0,1571314605770088511,56
id_140640893953856,s3,WAIT,2,1571314605770090074,57
id_140640893953856,s3,SIGNAL,3,1571314605770094771,58
id_140640893953856,s2,SIGNAL,1,1571314605770101377,59
